destination,month,trip_duration,stay_cost,transport_cost,food_cost,activity_cost,availability,rating,total_cost
Coorg,May,3,2202,1963,2556,1405,1,4.0,12530
Manali,May,3,1508,4620,2070,1076,1,3.9,12290
Gokarna,December,3,2133,2886,1884,1237,1,4.5,12406
Manali,July,5,1777,3702,4360,1697,0,4.2,18644
Manali,December,2,1631,5841,1370,1006,1,4.6,11479
Gokarna,December,5,1559,2043,3970,1464,1,4.0,15272
Coorg,January,5,1671,1182,3850,1301,1,4.4,14688
Gokarna,December,3,1198,2582,2556,1185,1,4.2,9917
Manali,January,3,2559,4476,2187,1587,1,5.0,15927
Ooty,July,3,2225,1668,1746,1355,1,4.1,11444
Rishikesh,October,4,2109,3084,2264,2458,1,4.4,16242
Coorg,March,4,1595,1757,2904,783,1,4.4,11824
Coorg,December,3,1108,990,2289,549,1,4.0,7152
Ooty,May,2,1466,1949,1436,1207,1,3.8,7524
Gokarna,December,3,2242,2885,2613,621,1,4.2,12845
Manali,May,3,2933,4146,1572,1020,1,4.4,15537
Ooty,October,5,1197,1804,3510,1099,1,4.3,12398
Goa,December,3,2987,2120,1968,1402,1,4.2,14451
Rishikesh,January,4,1561,4321,2776,1885,1,4.1,15226
Coorg,July,2,2363,844,1700,785,1,4.7,8055
Coorg,May,5,1831,1481,2690,1360,1,3.9,14686
Ooty,June,3,1201,1467,2529,1469,1,4.2,9068
Rishikesh,March,4,1885,5026,3028,2317,1,4.1,17911
Manali,January,4,2301,4866,2820,1661,1,4.5,18551
Manali,October,2,2509,5447,1322,1569,1,4.2,13356
Manali,June,4,1561,3244,2980,1058,1,4.0,13526
Ooty,May,2,1215,1240,1158,604,1,4.3,5432
Manali,July,3,1658,4383,2325,1826,0,4.0,13508
Ooty,October,2,1435,1745,1728,724,1,4.3,7067
Gokarna,July,4,2222,2597,2552,1077,1,3.9,15114
Gokarna,July,2,2424,2825,1334,919,1,4.1,9926
Gokarna,October,3,1203,2655,1914,1290,1,4.1,9468
Manali,June,4,3205,3596,3068,931,1,4.0,20415
Manali,October,3,1813,4835,1821,1885,1,4.5,13980
Manali,June,4,1752,3285,3220,2000,1,4.1,15513
Gokarna,June,3,2499,2397,1572,1146,1,4.1,12612
Goa,May,4,2841,2965,2980,1305,1,4.3,18614
Ooty,July,2,1007,1252,1162,821,1,4.0,5249
Coorg,December,4,1484,1365,2188,724,1,3.9,10213
Goa,June,3,2335,1557,1617,1203,1,3.9,11382
Coorg,March,2,1234,1801,1788,1229,1,4.2,7286
Coorg,January,5,1216,929,4420,841,1,4.4,12270
Manali,May,3,2776,4416,2682,1883,1,4.2,17309
Gokarna,January,2,1883,2130,1104,621,1,4.2,7621
Manali,June,5,3122,4855,3120,1421,1,4.1,25006
Goa,May,5,2851,1579,4395,518,1,3.9,20747
Goa,July,4,2679,2298,3552,1009,0,3.9,17575
Coorg,March,4,1083,1188,2248,867,1,4.5,8635
Gokarna,January,2,1848,2293,1766,622,1,4.4,8377
Ooty,March,2,2311,1344,1070,1347,1,4.4,8383
Gokarna,December,4,1009,1912,3328,1177,1,4.1,10453
Manali,March,2,3021,5658,1212,1731,1,3.9,14643
Rishikesh,December,5,3419,3375,3015,2411,1,3.9,25896
Gokarna,January,3,1004,2033,1881,1463,1,4.5,8389
Manali,June,5,2193,3374,3780,1662,1,4.0,19781
Rishikesh,October,4,2982,4880,3564,1403,1,3.8,21775
Manali,January,3,2444,3666,1914,1337,1,4.7,14249
Coorg,July,5,1665,949,4320,690,1,4.5,14284
Manali,July,4,2903,3996,2032,1234,0,4.4,18874
Manali,January,5,1984,5132,4085,1392,1,4.6,20529
Rishikesh,December,4,1719,5270,3388,1044,1,3.8,16578
Ooty,October,5,1144,1868,4050,968,1,3.8,12606
Coorg,December,5,1931,941,3055,1454,1,3.8,15105
Ooty,January,2,2233,874,1394,1147,1,4.0,7881
Ooty,June,5,1336,1475,3115,890,1,4.4,12160
Goa,June,2,3849,2296,1432,699,1,4.2,12125
Coorg,May,5,1302,1038,3975,1264,1,4.4,12787
Gokarna,May,5,1585,1650,3305,1026,1,3.9,13906
Goa,July,5,3140,2700,4145,543,0,4.4,23088
Gokarna,October,5,2379,2165,2960,946,1,4.3,17966
Rishikesh,March,4,3335,3116,2944,1528,1,4.4,20928
Rishikesh,January,2,2448,4727,1576,1586,1,4.2,12785
Goa,December,3,2673,1946,1662,1392,1,4.0,13019
Rishikesh,May,4,3388,3450,2964,2111,1,4.1,22077
Manali,March,5,2444,3129,4250,1071,1,4.0,20670
Rishikesh,June,2,2515,4047,1458,2391,1,4.1,12926
Goa,May,5,2974,1570,2805,863,1,4.2,20108
Ooty,October,3,1849,969,1794,803,1,4.2,9113
Coorg,December,2,2148,1949,1134,630,1,4.0,8009
Manali,January,3,2670,4093,1731,1686,1,4.8,15520
Coorg,June,3,1751,1340,2133,1061,1,4.4,9787
Gokarna,January,4,2042,1769,2164,1288,1,4.0,13389
Goa,January,5,3314,1857,3980,601,1,4.3,23008
Ooty,June,5,1389,990,3415,759,1,3.9,12109
Gokarna,July,2,2314,2992,1568,770,1,4.0,9958
Goa,October,5,3947,2476,3645,1246,1,4.4,27102
Coorg,January,3,1119,1435,1758,838,1,4.2,7388
Coorg,May,4,1352,1823,2316,1083,1,4.1,10630
Rishikesh,May,5,1597,4493,3470,2003,1,4.2,17951
Manali,July,4,2695,3940,3532,1944,0,4.4,20196
Coorg,January,5,2438,1638,3770,1147,1,4.3,18745
Goa,October,3,3057,2911,2553,692,1,4.5,15327
Rishikesh,July,4,2280,5740,2092,2304,1,4.4,19256
